TECH_PARAM_DEC_ID;TECH_PARAM_MSG_ID;TECH_PARAM_MSG_LABEL;TECH_PARAM_NAME;TECH_PARAM_DESCRIPTION
10;-1;statistics on Argos or GPS received data;NUMBER_ArgosPositions_COUNT;total number of Argos positions received.
11;-1;statistics on Argos received data;NUMBER_ArgosPositioningClass0_COUNT;positioning (ARGOS message) - Class 0 - accuracy >1500m radius
12;-1;statistics on Argos received data;NUMBER_ArgosPositioningClass1_COUNT;positioning (ARGOS message) - Class 1 - accuracy better than 1500m radius
13;-1;statistics on Argos received data;NUMBER_ArgosPositioningClass2_COUNT;positioning (ARGOS message) - Class 2 - accuracy better than 500m radius
14;-1;statistics on Argos received data;NUMBER_ArgosPositioningClass3_COUNT;positioning (ARGOS message) - Class 3 - accuracy better than 250m radius
15;-1;statistics on Argos received data;NUMBER_ArgosPositioningClassA_COUNT;positioning (ARGOS message) - Class A
16;-1;statistics on Argos received data;NUMBER_ArgosPositioningClassB_COUNT;positioning (ARGOS message) - Class B
17;-1;statistics on Argos received data;NUMBER_ArgosPositioningClassZ_COUNT;positioning (ARGOS message) - Class Z
20;-1;statistics on Argos received data;NUMBER_TransmissionFloatFramesComplete_COUNT;Transmission (PROVOR frames) - Complete
21;-1;statistics on Argos received data;NUMBER_TransmissionFloatFramesCrcOk_COUNT;Transmission (PROVOR frames) - CRC OK
22;-1;statistics on Argos received data;NUMBER_TransmissionFloatFramesTechnicalOk_COUNT;Transmission (PROVOR frames) - Technical OK
1100;3;External bladder state at deployment (0: float stay at surface, 1: heavy float at deployment);FLAG_StatusBladderStateAtLaunch_NUMBER;External bladder state at deployment (0: float stay at surface, 1: heavy float at deployment)
1101;4;Real valve opening time at surface;TIME_ValveActionsAtSurface_seconds;Duration of the basic valve actions.
1102;5;Additional valve actions at surface;NUMBER_ValveActionsAtSurfaceDuringDescent_COUNT;number of solenoid valve actions at the surface until the crossing of the GAP threshold
1103;6;Grounding at Surface (0 : no grounding, 1 : grounding);FLAG_Beached_NUMBER;is the float beached? - could be logical
1104;7;Nb of valve actions in descent to Parking Depth;NUMBER_ValveActionsDuringDescentToPark_COUNT;number of valve actions between the crossing  of the gap threshold and the end of descent at park pressure
1105;8;Nb of pump actions in descent to Parking Depth;NUMBER_PumpActionsDuringDescentToPark_COUNT;number of pump actions between the crossing  of the gap threshold and the end of descent at park pressure
1106;9;Nb of entrance in Drift target range;NUMBER_DescentToParkEntriesInParkMargin_COUNT;descent to park pressure: number of entries in margin around park pressure target - specifically, how many times the float enters the band of pressure surrounding the target park pressure (generally +/- 30db)
1107;10;Nb of repositionning in Parking Stand-by;NUMBER_RepositionsDuringPark_COUNT;number of times the float readjusts its buoyancy during park phase - using either the pump or EV
1108;11;Number of valve actions during drift at Parking Depth;NUMBER_ValveActionsDuringPark_COUNT;number of valve actions during park phase
1109;12;Number of pump actions during drift at Parking Depth;NUMBER_PumpActionsDuringPark_COUNT;number of pump actions while at park depth
1110;13;Nb of valve actions in descent to Profile Depth;NUMBER_ValveActionsDuringDescentToProfile_COUNT;number of valve actions during descent to start profile pressure
1111;14;Nb of pump actions in descent to Profile Depth;NUMBER_PumpActionsDuringDescentToProfile_COUNT;number of pump actions during descent to start profile pressure
1112;16;1st Grounding day relative to cycle start;CLOCK_TimeGrounded_FloatDay;Day number when the float grounds for the first time (relative to mission start day).
1113;17;1st Grounding Hour;CLOCK_TimeGrounded_HHMM;time the float grounded
1114;18;1st Grounding phase (*);FLAG_FirstGroundingCyclePhase_NUMBER;Phase of the float life or cycle when the first grounding occurred.  See the manual for phase definition - this will vary with float type
1115;19;Total Grounding number;FLAG_Grounded_NUMBER;grounded flag , diagnostic bit - could also be logical?  Yes/no? 0/1? Or can be number of profiles during which the float grounded
1116;20;Number of entrance in Profile target range;NUMBER_DescentToProfileEntriesInProfileMargin_COUNT;descent to profile pressure: number of entries in margin around profile pressure target  - specifically, how many times the float enters the band of pressure surrounding the target profile pressure (generally +/- 30db)
1117;21;Number of repositionning in Profile stand-by;NUMBER_RepositionsAtProfileDepth_COUNT;at profile pressure stand-by, number of times the float readjusts its buoyancy - using either the pump or EV
1118;22;Number of valve actions during drift at Profile Depth;NUMBER_ValveActionsDuringProfileDrift_COUNT;number of valve actions while drifting at profile depth
