TECH_PARAM_DEC_ID;TECH_PARAM_MSG_ID;TECH_PARAM_MSG_LABEL;TECH_PARAM_NAME;TECH_PARAM_DESCRIPTION
224;1;Date de début de cycle : JJ;CLOCK_InitialValveActionDescentToPark_YYYYMMDD;Date of the beginning of buoyancy reduction (relative to mission start day).
100;1;Jour relatif de début de cycle.;CLOCK_InitialValveActionDescentToPark_FloatDay;Day number of the beginning of buoyancy reduction (relative to mission start day).
225;1;Heure de début cycle (nombre de minutes dans le jour courant). (BUOYANCY_REDUCTION_START_TIME).;CLOCK_InitialValveActionDescentToPark_HHMM;Date of the beginning of buoyancy reduction (relative to mission start day).
101;1;Durée de l’activation forfaitaire de l’EV lors de la réduction d’émergence.;TIME_ValveActionsAtSurface_seconds;Duration of the basic valve actions.
102;1;Nombre de coups EV en surface.;NUMBER_ValveActionsAtSurfaceDuringDescent_COUNT;number of solenoid valve actions at the surface until the crossing of the GAP threshold
103;1;Flag échouage en surface .;FLAG_Beached_NUMBER;is the float beached? - could be logical
104;1;Heure de début de descente.;CLOCK_StartDescentToPark_HHMM;Number of minutes elapsed in the day at the beginning of the descent to parking depth.
105;1;Heure de première stabilisation.;CLOCK_InitialStabilizationDuringDescentToPark_HHMM;Number of minutes elapsed in the day when the float first stabilizes during descent to parking depth.
106;1;Heure de fin de descente.;CLOCK_EndDescentToPark_HHMM;Number of minutes elapsed in the day at the end of the descent to parking depth.
107;1;Nombre de coups d'électrovanne en plongée vers Pdérive.;NUMBER_ValveActionsDuringDescentToPark_COUNT;number of valve actions between the crossing  of the gap threshold and the end of descent at park pressure
108;1;Nombre de coups de pompe en plongée vers Pdérive.;NUMBER_PumpActionsDuringDescentToPark_COUNT;number of pump actions between the crossing  of the gap threshold and the end of descent at park pressure
226;1;Date de début de dérive (JJ du mois seulement);CLOCK_EndDescentToPark_DD;time when park pressure is reached
109;1;Nombre d'entrée dans la consigne.;NUMBER_DescentToParkEntriesInParkMargin_COUNT;descent to park pressure: number of entries in margin around park pressure target - specifically, how many times the float enters the band of pressure surrounding the target park pressure (generally +/- 30db)
110;1;Nombre de repositionnements en dérive.;NUMBER_RepositionsDuringPark_COUNT;number of times the float readjusts its buoyancy during park phase - using either the pump or EV
111;1;Nombre de coups d'EV en dérive à Pdérive.;NUMBER_ValveActionsDuringPark_COUNT;number of valve actions during park phase
112;1;Nombre de coups de pompe en dérive à Pdérive.;NUMBER_PumpActionsDuringPark_COUNT;number of pump actions while at park depth
113;1;Heure début descente profil.;CLOCK_StartDescentToProfile_HHMM;Number of minutes elapsed in the day at the beginning of the descent to profile depth.
114;1;Heure fin descente profil.;CLOCK_EndDescentToProfile_HHMM;Number of minutes elapsed in the day at the end of the descent to profile depth.
115;1;Nombre de coups EV descente profil.;NUMBER_ValveActionsDuringDescentToProfile_COUNT;number of valve actions during descent to start profile pressure
116;1;Nombre de coups de pompe descente profil.;NUMBER_PumpActionsDuringDescentToProfile_COUNT;number of pump actions during descent to start profile pressure
117;1;Nombre d'entrées consigne en dérive en attente profil.;NUMBER_DescentToProfileEntriesInProfileMargin_COUNT;descent to profile pressure: number of entries in margin around profile pressure target  - specifically, how many times the float enters the band of pressure surrounding the target profile pressure (generally +/- 30db)
118;1;Nombre de repositionnements en dérive en attente profil.;NUMBER_RepositionsAtProfileDepth_COUNT;at profile pressure stand-by, number of times the float readjusts its buoyancy - using either the pump or EV
119;1;Nombre de coups EV en dérive en attente profil.;NUMBER_ValveActionsDuringProfileDrift_COUNT;number of valve actions while drifting at profile depth
120;1;Nombre de coups de pompe en dérive en attente profil.;NUMBER_PumpActionsDuringProfileDrift_COUNT;Number of pump actions during drift at profile depth.
121;1;Heure de début de remontée.;CLOCK_StartAscentToSurface_HHMM;Number of minutes elapsed in the day at the beginning of the ascent to the surface.
122;1;Heure de fin de remontée.;CLOCK_TransmissionStart_HHMM;time of the first transmission for this cycle
123;1;Nombre de coups de pompe en remontée.;NUMBER_PumpActionsDuringAscentToSurface_COUNT;number of pump actions between start and end of ascent 
124;1;Offset de pression.;PRES_SurfaceOffsetCorrectedNotResetNegative_1cBarResolution_dbar;Surface pressure recorded just before the previous descent but data is corrected on board the float. Note: cumulative NEGATIVE   offset  (real offset * -1) but no further correction required. Autocorrected
125;1;Vide interne en surface.;PRESSURE_InternalVacuumAtSurface_mbar;Surface internal pressure
126;1;Tension batterie.;VOLTAGE_BatteryPumpStartProfile_volts;Pump battery voltage (volts) at depth
127;1;Erreur RTC.;FLAG_RTCStatus_LOGICAL;real time clock status - 1= OK, 0=not OK
128;1;Compteur de cohérence (nombre d’erreurs de la CTD).;NUMBER_CTDError_COUNT;CTD error count
129;1;Etat du capteur DO (0 si OK, 1 sinon).;FLAG_OptodeStatus_NUMBER;Flag indicating the status of the Optode (see manual)
130;1;Durée de la session GPS.;TIME_IridiumGPSFix_seconds;the number of seconds required to obtain a GPS fix for a profile
131;1;Nombre de relances effectuées lors de la session GPS.;NUMBER_RetriesForGPSAcquisition_COUNT;Number of times the GPS had to try to get a valid fix
132;1;Nombre de télécommandes reçues (pour le cycle en cours).;FLAG_RemoteControlMessageOK_COUNT;Number of remote control successfully considered.
133;1;Nombre de télécommandes rejetées (pour le cycle en cours).;FLAG_RemoteControlMessageKO_COUNT;Number of remote control rejected by the float (due to out of range value or remote control syntax error).
134;1;Date de début de fin de vie: HH;CLOCK_EOLStart_YYYYMMDDHHMMSS;Clock time when End of Life mode starts
135;1;Durée de la précédente session iridium.;TIME_PreviousIridiumSession_seconds;Duration on the previous Iridium session
136;1;Nombre de SBD recus lors de la précédente session Iridium.;NUMBER_IridiumMessagesReceivedPreviousSession_COUNT;Number of Incoming Iridium Messages Received during previous session
137;1;Nombre de SBD émis lors de la précédente session Iridium.;NUMBER_IridiumMessagesSentPreviousSession_COUNT;Number of Incoming Iridium Messages Sent during previous session
200;2;Nombre de paquets de type 1 ou 8 - CTDO descente.;NUMBER_DescentIridiumPackets_COUNT;Number of Iridium packets used to transmit sensor data collected during the descent phases (from surface to the parking depth and from the parking depth to the profile depth).
201;2;Nombre de paquets de type 2 ou 9 - CTDO dérive.;NUMBER_ParkIridiumPackets_COUNT;Number of Iridium packets used to transmit sensor data collected during the drift at park depth.
202;2;Nombre de paquets de type 3 ou 10 - CTDO remontée.;NUMBER_AscentIridiumPackets_COUNT;Number of Iridium packets used to transmit sensor data collected during the ascent from the profile depth to the surface.
203;2;Nombre de tranches zone surface – descente.;NUMBER_DescendingProfileReductionUpperPart_COUNT;Descending profile reduction Number of slices in shallow zone - NTS
204;2;Nombre de tranches zone fond - descente.;NUMBER_DescendingProfileReductionLowerPart_COUNT;Descending profile reduction Number of slices in deep zone - NTF
205;2;Nombre de mesures en dérive à l’immersion de parking.;NUMBER_ParkCTDOSamplesInternal_COUNT;Park  measurements - Internal counter
206;2;Nombre de tranches zone surface – remontée.;NUMBER_AscendingProfileReductionUpperPart_COUNT;Ascending profile reduction Number of slices in shallow zone - NTS
