CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
PM00;Number of cycles;Number of cycles performed by the float before turning itself into the Life Expiry mode (End Of Life mode). Set it to 255 if you don't plan to recover the float and you what it to cycle until exhaustion of its batteries.;CONFIG_MaxCycles_NUMBER;Applies to PROVOR and ARVOR floats, profiler configuration - Number of cycles before float turns itself off, goes into end of life mode, or into recovery mode
PM01;Cycle period;Total duration of a cycle (descent, submerged drift, ascent and transmission) (in days).;CONFIG_CycleTime_days;For APEX and ARVOR floats this is the total duration of one cycle, usually 240 hours (10 days). For SOLO floats this is the total duration of one cycle, assuming that all float operations reach their full time-out intervals before moving to the next float stage. Typically the actual cycle time will be shorter than this value.
PM02;Reference day;Float internal day number when the first ascending profile has to be made (in float day).;CONFIG_FloatReferenceDay_FloatDay;Profiler configuration - Reference day, for PROVOR and ARVOR floats this is: The day number on which the first profile is to be made. The day when the mission starts is zero.
PM03;Estimated time at the surface;Estimated time the float must reach the surface (HH).;CONFIG_SurfaceTime_HH;Hour of the float surfacing
PM04;Delay before mission;Delay between the float start up and the beginning of the first descent (in minutes).;CONFIG_DelayBeforeMissionStart_minutes;Float waiting period before the first cycle of its mission (in minutes).
PM05;Descent sampling period;Sampling CTD period during the descent to parking depth. If set to 0, no descending profile is performed (except for the first cycle) (in seconds).;CONFIG_DescentToParkPresSamplingTime_seconds;Sampling period during the descent to parking pressure (in seconds).
PM06;Drift sampling period;Sampling CTD period during the drift phase at parking depth. If set to 0, no measurement is performed during the drift phase at parking depth (in hours).;CONFIG_ParkSamplingPeriod_hours;specifies sampling period during the park phase, e.g. for APEX floats could be hourly or for ARVOR floats 12 hourly, for SOLO/SOLOII floats this definition is: P,T,S is sampled during drift (park) every CONFIG_ParkSamplingPeriod_hours, e.g. every 2 hours.
PM07;Ascent sampling period;Sampling CTD period during the ascent to surface. If set to 0, no ascending profile is performed (in seconds).;CONFIG_AscentSamplingPeriod_seconds;Sampling period during the ascending profile (in seconds).
PM08;Drift depth;Parking pressure (in dbar).;CONFIG_ParkPressure_dbar;park pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
PM09;Profile depth;Profile pressure (in dbar).;CONFIG_ProfilePressure_dbar;profile pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
PM10;Threshold surface/middle pressure;Isobar that divides shallow depths from intermediate depths for the purpose of data reduction (in dbar).;CONFIG_PressureThresholdDataReductionShallowToIntermediate_dbar;The isobar that divides shallow depths from intermediate depths for the purpose of data reduction with 3 depth zones (in dbars).
PM11;Threshold middle/bottom pressure;Isobar that divides intermediate depths from deep depths for the purpose of data reduction (in dbar).;CONFIG_PressureThresholdDataReductionIntermediateToDeep_dbar;The isobar that divides intermediate depths from deep depths for the purpose of data reduction with 3 depth zones (in dbars).
PM12;Thickness of the surface slices;Thickness of the slices for shallow depths (algorithm of data reduction) (in dbar).;CONFIG_ProfileSurfaceSlicesThickness_dbar;Thickness of the slices for shallow depths (algorithm of data reduction) (in dbars).
PM13;Thickness of the middle slices;Thickness of the slices for intermediate depths (algorithm of data reduction) (in dbar).;CONFIG_ProfileIntermediateSlicesThickness_dbar;Thickness of the slices for intermediate depths (algorithm of data reduction) (in dbars).
PM14;Thickness of the bottom slices;Thickness of the slices for deeep depths (algorithm of data reduction) (in dbar).;CONFIG_ProfileBottomSlicesThickness_dbar;Thickness of the slices for deep depths (algorithm of data reduction) (in dbars).
PM15;EOL Iridium period;Period of Iridium transmission when in End Of life mode.;CONFIG_TransmissionPeriodEndOfLife_minutes;Period of the Iridium transmission when in End Of Life mode (in minutes).
PM16;Delai before a second Iridium session;Waiting time after the Iridium session before starting a second Iridium session.;CONFIG_TelemetryRepeatSessionDelay_minutes;Delay before a second Iridium session performed by the float just before diving for a new cycle (in minutes).
PM17;Delai before a new try when grounded at the surface;Delay between dive tries when grounded at the surface.;CONFIG_TimeDelaybeforeDescentRetryWhenStuckAtSurface_minutes;"Time delay between each new attempt to descend when the float is stuck at the surface. When the float cannot reach the pressure threshold defined by ""CONFIG_BuoyancyReductionFirstThreshold_dbar"" after a given number of buoyancy actions it waits a period of time specified by ""CONFIG_TimeDelaybeforeDescentRetryWhenStuckAtSurface_minutes"" before starting a new sequence of buoyancy actions."
PT00;Durée maxi d'activation EV en surface (utilisée pour PT8<P< PT7).;TBD;CONFIG_SurfaceValveMaxTimeAdditionalActions_csec;Maximum duration of the additional valve actions performed at the surface during the buoyancy reduction phase (in centi-seconds).
PT01;Volume transféré par l'EV maxi autorisé en profondeur (pendant les descentes et les repositionnements).;TBD;CONFIG_OilVolumeMaxPerValveAction_cm^3;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMaxPerValveAction_cm^3 is converted to a maxDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a huge valve action duration and the result must be thresholded by maxDurationOfValveAction. So yes, this information is a configuration parameter (and for Remocean float it can be modified via remote controls, but of course by specialist in PROVOR vector configuration).
PT02;Durée maxi d'activation de la pompe en profondeur durant les repositionnements.;TBD;CONFIG_PumpActionMaxTimeReposition_csec;Maximum duration of the pump action for a drift readjustment (in centi-seconds).
PT03;Durée maxi d'activation de la pompe en remontée.;TBD;CONFIG_PumpActionMaxTimeAscent_csec;Maximum duration of a pump action during ascent (in centi-seconds).
PT04;Durée nominale d'activation de la pompe en émergence.;TBD;CONFIG_PumpActionTimeBuoyancyAcquisition_csec;Duration of the last pump action of the buoyancy acquisition phase (in centi-seconds).
PT05;Tolérance sur l'atteinte de la pression de consigne (+/-).;TBD;CONFIG_PressureTargetToleranceForStabilisation_dbar;Defines the target pressure interval for float stabilisation at parking or profile depth (in dbars).
