CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
CONFIG_DIR;n/a;n/a;CONFIG_Direction_NUMBER;Ascending = 1, Descending = 2, Ascending and Descending = 3
CONFIG_CT;n/a;n/a;CONFIG_CycleTime_hours;For APEX and ARVOR floats this is the total duration of one cycle, usually 240 hours (10 days). For SOLO floats this is the total duration of one cycle, assuming that all float operations reach their full time-out intervals before moving to the next float stage. Typically the actual cycle time will be shorter than this value.
CONFIG_ARM;n/a;Activates or deactivates Recovery mode.;CONFIG_RecoveryModeActivate_LOGICAL;Activates or deactivates recovery mode. Recovery mode is operator activated. If activated, the float remains on the surface indefinitely while transmitting its position and log files and downloading new mission and sample configuration parameters if available. If Recovery mode is then deactivated, the float will begin the Park Descent phase of a new mission.
CONFIG_AR;n/a;The rate of ascent in decibars per second that the float attempts to maintain. During the ascent the float measures its actual ascent rate, and if it is less than AscentRate, the buoyancy position is moved in accordance with BuoyancyNudge.;CONFIG_AscentSpeed_mm/s;ascent speed during upcast in mm/s or cm/s (can be used to estimate the profile duration)
CONFIG_TOD;n/a;Enables time of day operation with the entry of one to as many as four settings. One setting is required, up to three additional settings are optional. The required setting is the minutes after GMT midnight at which an ascent will start after the initial Park phase period. The three optional settings are minutes after GMT midnight at which up to three additional ascents will start on the same day. For these optional settings, the operator must ensure that there is enough time in the day for the float to descend and then ascend at each of the specified times, otherwise the time of an ascent will be extended to the following day. The operator must also take into account PnPCycleLen when estimating ascent times. A setting of -1 disables the time of day operation.;CONFIG_DownTimeExpiryTimeOfDay_minutes;a time out value (time of day, i.e. in minutes past midnight) for expiration of the down time
CONFIG_ASCEND;n/a;The amount of time in minutes allowed for the float to reach the surface. Should it not reach the surface in this period, it will stop sampling and transition to the Surface phase and fully inflate both the oil and air compartments of the bladder.;CONFIG_AscentToSurfaceTimeOut_minutes;maximum time a float will try to reach its target depth (surface) before aborting this step
CONFIG_ATI;n/a;The interval in seconds between float samples of the pressure to check the ascent rate and to determine if the surface has been reached. It is also the interval at which the sensor specified in a sample.cfg entry for the Ascent phase that includes an interval parameter setting of 0 is sampled.;CONFIG_PressureCheckTimeAscent_seconds;Period of the pressure checks during the float ascent to surface (in minutes).
CONFIG_NUDGE;n/a;The number of counts to add to the current piston position so as to incrementally increase the buoyancy of the float when its ascent rate is below that specified by AscentRate.;CONFIG_AscentAdjustmentToBuoyancy_COUNT;commonly cited as 'buoyancy nudge', this controls the ascent rate, units could be COUNT or whatever is reported, i.e. for SOLOII it is seconds pump is run to adjust float rise rate on ascent.
CONFIG_TPP;n/a;The piston position in counts that will cause the float to descend to its Profile depth. This configuration parameter is dynamically updated during each profiling cycle based on the adjustments needed to reach the desired Profile depth.;CONFIG_PistonProfile_COUNT;preset profile piston position, in counts   
CONFIG_TP;n/a;The pressure in decibars associated with the Profile depth.;CONFIG_ProfilePressure_dbar;profile pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
CONFIG_DPDP;n/a;The maximum amount of time in minutes allowed for the float to leave its Park depth and to reach its Profile depth. Should the float not reach its Profile depth in this period, it will stop descending and transition to the Ascent phase.;CONFIG_DescentToProfTimeOut_minutes;maximum amount of time allowed for the float to descend to Profile pressure from Park pressure
