CONF_PARAM_DEC_ID;CONF_PARAM_MSG_ID;CONF_PARAM_MSG_LABEL;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
200;254;Max eV activation on Surface (in csec);CONFIG_SurfaceValveMaxTimeAdditionalActions_csec;Maximum duration of the additional valve actions performed at the surface during the buoyancy reduction phase (in centi-seconds).
201;254;Valve activations target (in number of actions);CONFIG_SurfaceValveAdditionalActions_COUNT;Target number of additional valve actions performed at the surface during the buoyancy reduction phase.
202;254;Pressure timing period during buoyancy reduction (in sec);CONFIG_PressureCheckTimeBuoyancyReductionPhase_seconds;Time delay after each valve action before checking the pressure during the buoyancy reduction phase (in seconds).
203;254;Pressure timing period during ascent (in min);CONFIG_PressureCheckTimeAscent_minutes;Period of the pressure checks during the float ascent to surface (in minutes).
204;254;Max volume eV during descent and repositionning (in cm3);CONFIG_OilVolumeMaxPerValveAction_cm^3;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMaxPerValveAction_cm^3 is converted to a maxDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a huge valve action duration and the result must be thresholded by maxDurationOfValveAction. So yes, this information is a configuration parameter (and for Remocean float it can be modified via remote controls, but of course by specialist in PROVOR vector configuration).
205;254;Max duration pump during repositioning (in csec);CONFIG_PumpActionMaxTimeReposition_csec;Maximum duration of the pump action for a drift readjustment (in centi-seconds).
206;254;Duration pump during ascent (in csec);CONFIG_PumpActionMaxTimeAscent_csec;Maximum duration of a pump action during ascent (in centi-seconds).
207;254;Duration pump during surfacing (in csec);CONFIG_PumpActionTimeBuoyancyAcquisition_csec;Duration of the last pump action of the buoyancy acquisition phase (in centi-seconds).
208;254;Pressure delta for positioning (in dBars);CONFIG_PressureTargetToleranceForStabilisation_dbar;Defines the target pressure interval for float stabilisation at parking or profile depth (in dbars).
209;254;Max pressure before emergency ascent (in dBars);CONFIG_PressureMaxBeforeEmergencyAscent_dbar;Emergency ascent phase start pressure (in dbars).
210;254;1st threshold for buoyancy reduction (in dBars);CONFIG_BuoyancyReductionFirstThreshold_dbar;First threshold of the buoyancy reduction phase (in dbars). From the surface to this first threshold, the float performs one initial valve action (of a computed duration) and N1 additional valve actions (of fixed durations) until the crossing of this first threshold.
211;254;2nd threshold for buoyancy reduction (in dBars);CONFIG_BuoyancyReductionSecondThreshold_dbar;Second threshold of the buoyancy reduction phase (in dbars). From the first threshold to this second threshold, the float performs N2 additional valve actions (of computed durations) until the crossing of this second threshold. The descent to park phase starts at the crossing of this second threshold.
212;254;Repositionning threshold (in number of measurements);CONFIG_NumberOfOutOfTolerancePresBeforeReposition_COUNT;Number of consecutive pressure measurements outside the target pressure interval before performing a drift readjustment.
213;254;Grounding mode (1 = stay grounded, 0 pressure switch);CONFIG_GroundingMode_LOGICAL;Action performed by the float when a grounding is detected. 0: the float changes its drift pressure, 1: the float stays on the seabed until the next phase of the cycle.
214;254;Max volume before detecting grounding (in cm3);CONFIG_OilVolumeMinForGroundingDetection_cm^3;This information is a threshold used to detect a grounding of the float. If there is no vertical motion after having tranfered CONFIG_OilVolumeMinForGroundingDetection_cm^3 through the valve, the gounded flag is activated and the float acts as configurated by the CONFIG_GroundingMode_LOGICAL parameter.So, yes it is a configuration parameter (and I can easily understand that it can be modified via remote control since some PROVOR floats have experienced erroneous grounding detection (under study but perhaps due to in-situ conditions).
215;254;Grounding pressure (in dBars);CONFIG_GroundingModeMinPresThreshold_dbar;If in grounding mode 0, the float changes its drift pressure only if its current pressure is greater than this value.
216;254;Grounding switch pressure (in dBars);CONFIG_GroundingModePresAdjustment_dbar;If in grounding mode 0, the float changes its drift pressure to its programmed one minus this value only if its current pressure is greater than this value.
217;254;Pressure delta during drift (in dBars);CONFIG_PressureTargetToleranceDuringDrift_dbar;Defines the target pressure interval for float drift at parking or profile depth (in dbars).
218;254;Average descent speed (in mm/sec);CONFIG_DescentSpeed_mm/s;Descent speed during downcast in mm/s (can be used to estimate the time to descent from parking pressure to profile pressure)
221;254;Min ascent speed (in mm/sec);CONFIG_AscentSpeedMin_mm/s;Float minimum ascent speed before activating the pump (in mm/second).
222;254;Average ascent speed (in mm/sec);CONFIG_AscentSpeed_mm/s;ascent speed during upcast in mm/s or cm/s (can be used to estimate the profile duration)
226;254;Coef 1;CONFIG_InternalPressureCalibrationCoef1_NUMBER;First coefficient used to compute float internal pressure in mBars from sensor counts.
227;254;Coef 2;CONFIG_InternalPressureCalibrationCoef2_NUMBER;Second coefficient used to compute float internal pressure in mBars from sensor counts.
300;255;Number of different profiles per cycle (1 to 10);CONFIG_NumberOfSubCycles_NUMBER;Number of sub-cycles performs by the float during one float cycle.
301;255;Delay before mission (min);CONFIG_DelayBeforeMissionStart_minutes;Float waiting period before the first cycle of its mission (in minutes).
302;255;Reference day (mission day);CONFIG_FloatReferenceDay_FloatDay;Profiler configuration - Reference day, for PROVOR and ARVOR floats this is: The day number on which the first profile is to be made. The day when the mission starts is zero.
