CONF_PARAM_DEC_ID;CONF_PARAM_MSG_ID;CONF_PARAM_MSG_LABEL;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
100;248;Session time-out (in minutes);CONFIG_ConnectionTimeOut_minutes;Connection time-out, i.e. maximum transmission period for one telemetry session
101;248;First hanging Time-out (in minutes);CONFIG_ConnectionFailureTimeOut_minutes;Is the maximum time allowed for the float to connect to the RUDICS server, i.e. it tries to connect during 30 minutes (values set for these floats) if it fails it is probably because it is under ice (that has not been detected by ISA or hanging algorithms).
102;248;Full Auto-test (Rudics server connection test at mission begin);CONFIG_TelemetryAutoTestAtDeployment_LOGICAL;Perform a full auto-test (RUDICS server connection test) at float deployment (Yes=1/No=0).A full auto-test includes a connection test on the RUDICS server and a GPS fix acquisition.
103;248;SBD positioning activation;CONFIG_RudicsAndIridiumSession_LOGICAL;This float has a RUDICS transmission system. However it is able to connect to Iridium if the user want to get one Iridium position for each cycle.
104;248;Send SBD positioning only on GPS default;CONFIG_RudicsAndIridiumSessionWhenNoGPS_LOGICAL;For RUDICS transmission floats, perform also one Iridium session (to get an Iridium position) when the GPS fix is not valid.
200;254;Max eV activation on Surface (in csec);CONFIG_SurfaceValveMaxTimeAdditionalActions_csec;Maximum duration of the additional valve actions performed at the surface during the buoyancy reduction phase (in centi-seconds).
201;254;Valve activations target (in number of actions);CONFIG_SurfaceValveAdditionalActions_COUNT;Target number of additional valve actions performed at the surface during the buoyancy reduction phase.
202;254;Pressure timing period during buoyancy reduction (in sec);CONFIG_PressureCheckTimeBuoyancyReductionPhase_seconds;Time delay after each valve action before checking the pressure during the buoyancy reduction phase (in seconds).
203;254;Pressure timing period during ascent (in min);CONFIG_PressureCheckTimeAscent_minutes;Period of the pressure checks during the float ascent to surface (in minutes).
204;254;Max volume eV during descent and repositionning (in cm3);CONFIG_OilVolumeMaxPerValveAction_cm^3;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMaxPerValveAction_cm^3 is converted to a maxDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a huge valve action duration and the result must be thresholded by maxDurationOfValveAction. So yes, this information is a configuration parameter (and for Remocean float it can be modified via remote controls, but of course by specialist in PROVOR vector configuration).
205;254;Max duration pump during repositioning (in csec);CONFIG_PumpActionMaxTimeReposition_csec;Maximum duration of the pump action for a drift readjustment (in centi-seconds).
206;254;Duration pump during ascent (in csec);CONFIG_PumpActionMaxTimeAscent_csec;Maximum duration of a pump action during ascent (in centi-seconds).
207;254;Duration pump during surfacing (in csec);CONFIG_PumpActionTimeBuoyancyAcquisition_csec;Duration of the last pump action of the buoyancy acquisition phase (in centi-seconds).
208;254;Pressure delta for positioning (in dBars);CONFIG_PressureTargetToleranceForStabilisation_dbar;Defines the target pressure interval for float stabilisation at parking or profile depth (in dbars).
209;254;Max pressure before emergency ascent (in dBars);CONFIG_PressureMaxBeforeEmergencyAscent_dbar;Emergency ascent phase start pressure (in dbars).
210;254;1st threshold for buoyancy reduction (in dBars);CONFIG_BuoyancyReductionFirstThreshold_dbar;First threshold of the buoyancy reduction phase (in dbars). From the surface to this first threshold, the float performs one initial valve action (of a computed duration) and N1 additional valve actions (of fixed durations) until the crossing of this first threshold.
211;254;2nd threshold for buoyancy reduction (in dBars);CONFIG_BuoyancyReductionSecondThreshold_dbar;Second threshold of the buoyancy reduction phase (in dbars). From the first threshold to this second threshold, the float performs N2 additional valve actions (of computed durations) until the crossing of this second threshold. The descent to park phase starts at the crossing of this second threshold.
212;254;Repositionning threshold (in number of measurements);CONFIG_NumberOfOutOfTolerancePresBeforeReposition_COUNT;Number of consecutive pressure measurements outside the target pressure interval before performing a drift readjustment.
213;254;Grounding mode (0 = pressure switch, 1 stay grounded) VERIFIER QUE INVERSION DANS DECODEUR ACTUEL;CONFIG_GroundingMode_LOGICAL;Action performed by the float when a grounding is detected. 0: the float changes its drift pressure, 1: the float stays on the seabed until the next phase of the cycle.
214;254;Max volume before detecting grounding (in cm3);CONFIG_OilVolumeMinForGroundingDetection_cm^3;This information is a threshold used to detect a grounding of the float. If there is no vertical motion after having tranfered CONFIG_OilVolumeMinForGroundingDetection_cm^3 through the valve, the gounded flag is activated and the float acts as configurated by the CONFIG_GroundingMode_LOGICAL parameter.So, yes it is a configuration parameter (and I can easily understand that it can be modified via remote control since some PROVOR floats have experienced erroneous grounding detection (under study but perhaps due to in-situ conditions).
215;254;Grounding pressure (in dBars);CONFIG_GroundingModeMinPresThreshold_dbar;If in grounding mode 0, the float changes its drift pressure only if its current pressure is greater than this value.
216;254;Grounding switch pressure (in dBars);CONFIG_GroundingModePresAdjustment_dbar;If in grounding mode 0, the float changes its drift pressure to its programmed one minus this value only if its current pressure is greater than this value.
217;254;Pressure delta during drift (in dBars);CONFIG_PressureTargetToleranceDuringDrift_dbar;Defines the target pressure interval for float drift at parking or profile depth (in dbars).
218;254;Average descent speed (in mm/sec);CONFIG_DescentSpeed_mm/s;Descent speed during downcast in mm/s (can be used to estimate the time to descent from parking pressure to profile pressure)
219;254;Min ascent speed (in mm/sec);CONFIG_AscentSpeedMin_mm/s;Float minimum ascent speed before activating the pump (in mm/second).
220;254;Average ascent speed (in mm/sec);CONFIG_AscentSpeed_mm/s;ascent speed during upcast in mm/s or cm/s (can be used to estimate the profile duration)
221;254;Wait period on surface after Emergency ascent (in min);CONFIG_SurfaceWaitPeriodAfterEmergencyAscent_minutes;Duration of the specific surface phase that occurs after an emergency ascent of the float.
223;254;Number of retries per SBD commands on error;CONFIG_TelemetryMaxRetrySecondary_COUNT;Some float versions have a secondary telemetry system, in this case the float is able to perform an Iridium session (to get one Iridium position) in addition to the RUDICS version used in the main telemetry session specified by CONFIG_TelemetryMaxRetry_COUNT
224;254;Buoyancy inversion : Offset pressure;CONFIG_IceDetectionDescentVerticalThresholdToEndBuoyancyInversionPhase_dbar;When the cycle is aborted this threshold is used to detect speed inversion and to stop buoyancy inversion phase.
225;254;Buoyancy inversion : Volume of first EV activation;CONFIG_IceDetectionOilVolumeForFirstValveAction_cm^3;Volume of the first valve action of a buoyancy inversion phase.
226;254;Buoyancy inversion : Volume of next EV activation;CONFIG_IceDetectionOilVolumePerValveAction_cm^3;Valve action duration during the buoyancy inversion phase.
227;254;Buoyancy inversion : Maximum volume of EV activation;CONFIG_IceDetectionOilVolumeMinForGroundingDetection_cm^3;Similar to CONFIG_OilVolumeMinForGroundingDetection_cm^3 but for a float in a buoyancy inversion phase.
228;254;Coef 1;CONFIG_InternalPressureCalibrationCoef1_NUMBER;First coefficient used to compute float internal pressure in mBars from sensor counts.
229;254;Coef 2;CONFIG_InternalPressureCalibrationCoef2_NUMBER;Second coefficient used to compute float internal pressure in mBars from sensor counts.
700;254;Number of days without emergence;CONFIG_IceDetectionSpringInhibitionDelaySinceLastIceEvasion_days;Maximum delay (in days/cycles) since the last ice evasiondate to attempt a surfacing.  This is often called the 'Spring', where the float stays underwater for a time even though the temperature has warmed.
701;254;Number of days to force emergence;CONFIG_IceDetectionMaxDaysNoTransmission_NUMBER;Maximum delay (in days/cycles) of no transmission due to the ice detection algorithm. This parameter is used to disable the ice detection algorithmand force the float to surface even if ice is detected.
702;254;Number of detection (ISA) to confirm ICE at surface;CONFIG_IceDetectionConsecutiveDetectionBeforeFloatSurfaceInhibition_NUMBER;Number of consecutive ISA detections before float surface inhibition.If fewer consecutive ice detections are made, then the float will immediately seek the surface if mixed layer temp is warm.
703;254;Slowdown pressure threshold (float’s speed);CONFIG_AscentSpeedStartPressureThresholdForSlowPhase_dbar;Pressure threshold to start the slow ascent speed phase.
704;254;Pressure acquisition period during ascent;CONFIG_IceDetectionPressureInterval_dbar;Period of the ice detection algorithm.
705;254;Minimum ascent speed during “slow ascent”;CONFIG_IceDetectionAscentVerticalThresholdForBuoyancyAction_mm/s;Similar to CONFIG_AscentVerticalThresholdForBuoyancyAction_dbar but for a float in ice detection mode.
706;254;Pump action duration;CONFIG_IceDetectionPumpActionMaxTimeAscent_csec;Similar to CONFIG_PumpActionMaxTimeAscent_csec but for a float in ice detection mode.
707;254;GPS Timeout;CONFIG_GPSTimeout_minutes;Timeout for GPS acquisition.
708;254;Max volume to detect ascent blocking;CONFIG_IceDetectionNoVerticalMotionTimeOut_cm^3;When the float is in ice detection mode if, despite of pump actions, no vertical motion is detected during this delay, the cycle is aborted.
300;255;Number of different profiles per cycle (1 to 10);CONFIG_NumberOfSubCycles_NUMBER;Number of sub-cycles performs by the float during one float cycle.
301;255;Delay before mission (min);CONFIG_DelayBeforeMissionStart_minutes;Float waiting period before the first cycle of its mission (in minutes).
302;255;Reference day (mission day);CONFIG_FloatReferenceDay_FloatDay;Profiler configuration - Reference day, for PROVOR and ARVOR floats this is: The day number on which the first profile is to be made. The day when the mission starts is zero.
303;255;Day for sub-cycle #N surfacing (mission day);CONFIG_SurfaceDay_FloatDay;Day of the float surfacing
304;255;Estimated hour on surface for sub-cycle #N;CONFIG_SurfaceTime_HH;Hour of the float surfacing
305;255;Parking depth #N (dbar);CONFIG_ParkPressure_dbar;park pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
306;255;Profile depth #N (dbar);CONFIG_ProfilePressure_dbar;profile pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
307;255;Transmission after the sub-cycle #N (1/0 = Yes/No);CONFIG_TransmissionEndCycle_LOGICAL;The float performs a telemetry transmission at the end of the cycle (Yes=1/No=0).
400;255;Number of different cycle duration (always 1);CONFIG_NumberOfInternalCycles_COUNT;Number of internal cycles. Note that the sub-cycle (i.e. final Argo cycle) durations are not really defined they are deduced from CONFIG_SurfaceDay_FloatDay and CONFIG_SurfaceTime_HH).
401;255;Iridium 2nd session waiting time (0 means no second session) (min);CONFIG_TransmissionPeriodEndOfLife_minutes;Period of the Iridium transmission when in End Of Life mode (in minutes).
402;255;Iridium 2nd session waiting time (min);CONFIG_TelemetryRepeatSessionDelay_minutes;Delay before a second Iridium session performed by the float just before diving for a new cycle (in minutes).
403;255;Cycle Period 1 (in hours);CONFIG_InternalCycleTime<D>_hours;Internal cycle duration #<D> (in hours). (D is a number denoting the internal cycle label)
404;255;End Day for “Cycle Period” 1;CONFIG_InternalCycle<D>LastGregDay_DD;Last day to use float cycle duration #<D> (in gregorian day). (D is a number denoting the internal cycle label)
405;255;End Month for “Cycle Period” 1;CONFIG_InternalCycle<D>LastGregMonth_MM;Last month to use float cycle duration #<D> (in gregorian month). (D is a number denoting the internal cycle label)
406;255;End Year for “Cycle Period” 1;CONFIG_InternalCycle<D>LastGregYear_YYYY;Last year to use float cycle duration #<D> (in gregorian year, two digits). (D is a number denoting the internal cycle label)
407;-1;Cycle duration;CONFIG_CycleTime_hours;For APEX and ARVOR floats this is the total duration of one cycle, usually 240 hours (10 days). For SOLO floats this is the total duration of one cycle, assuming that all float operations reach their full time-out intervals before moving to the next float stage. Typically the actual cycle time will be shorter than this value.
500;251;Sampling period for X in descent to parking depth (in zone #Z) (in seconds);CONFIG_<short_sensor_name>DepthZone<N>DescentToParkPresSamplingPeriod_seconds;Sampling period of the <short sensor name> during the descent to parking pressure in the depth zone #<N> (in seconds).
501;251;Sampling period for X in parking drift (in zone #Z) (in minutes);CONFIG_<short_sensor_name>DepthZone<N>DriftAtParkPresSamplingPeriod_minutes;Sampling period of the <short sensor name> during the drift at parking pressure in the depth zone #<N> (in minutes).
502;251;Sampling period for X in descent to profile depth (in zone #Z) (in seconds);CONFIG_<short_sensor_name>DepthZone<N>DescentToProfilePresSamplingPeriod_seconds;Sampling period of the <short sensor name> during the descent to profile pressure in the depth zone #<N> (in seconds).
503;251;Sampling period for X in profile depth drift (in zone #Z) (in minutes);CONFIG_<short_sensor_name>DepthZone<N>DriftAtProfilePresSamplingPeriod_minutes;Sampling period of the <short sensor name> during the drift at profile pressure in the depth zone #<N> (in minutes).
504;251;Sampling period for X in ascent profile (in zone #Z) (in seconds);CONFIG_<short_sensor_name>DepthZone<N>AscentSamplingPeriod_seconds;Sampling period of the <short sensor name> during the ascending profile in the depth zone #<N> (in seconds).
505;251;Power acquisition mode for X in zone #Z (0 : none, 2 : pulsed, 3 : continuous);CONFIG_<short_sensor_name>DepthZone<N>PowerAcquisitionMode_NUMBER;Power acquisition mode of the <short sensor name> in the depth zone #<N> (0 : none, 2 : pulsed, 3 : continuous).
506;251;Treatment type for X in zone #Z (0 : raw, 1 : average, 7 : average/median/standard deviation);CONFIG_<short_sensor_name>DepthZone<N>DataProcessingMode_NUMBER;Data processing output of the <short sensor name> in the depth zone #<N> (0 : raw, 1 : average, 7 : average/median/standard deviation).
508;251;Slices thickness for X in zone #Z (in dbars);CONFIG_<short_sensor_name>DepthZone<N>SlicesThickness_dbar;Slices thickness for <short sensor name> in the depth zone #<N> (in dbars).
509;251;Threshold zone #1 / zone #2 for X;CONFIG_<short_sensor_name>DepthZone<N>DepthZone<N+1>PressureThreshold_dbar;Threshold between depth zone #N and depth zone #N+1 for <short sensor name>  (in dbars).
600;251;CTD power warm-up time (msec);CONFIG_<short_sensor_name>WarmUpTime_msec;Time, needed after the <short sensor name> is powered ON, to provide its first sample (in milli-seconds).
601;251;Power OFF time between power ON retry of CTD (msec);CONFIG_<short_sensor_name>PowerSwitchDelayMin_msec;Minimum waiting time needed by the <short sensor name> between a switch OFF and a switch ON (in milli-seconds).
602;251;1st «valid sample» rank of CTD;CONFIG_<short_sensor_name>FirstValidSample_NUMBER;Rank of the first valid sample provided by the <short sensor name> (0 is the rank of the first sample).
604;251;Cut-off pressure of CTD (dbar);CONFIG_CTDPumpStopPressure_dbar;The pressure at which the CTD pump is switched off.  As the float ascends, the code looks at the pressure and if <= CONFIG_CTDPumpStopPressure, the CTD is turned off. CTDPumpStopPressure is a firmware threshold and as such, data may continue to be collected for a limited span after the threshold is recognized. Especially in floats that return high resolution discrete data, there might be data collected shallower than the cut off, due to the discrete nature of the pressure data and also due to the time necessary for the firmware to turn off the CTD once the pressure threshold is reached. For example for SOLOII floats the CTD is switched off at 1dbar, and typically the shallowest data is from 0.5 to 0.8 dbar. This shallow data should be carefully assessed for its validity.
605;251;Min pressure of CTD (dbar);CONFIG_CtdMinTransmittedPressure_dbar;Minimum value of transmitted Ctd pressure measurements (in dbars).
606;251;Max pressure of CTD (dbar);CONFIG_CtdMaxTransmittedPressure_dbar;Maximum value of transmitted Ctd pressure measurements (in dbars).
607;251;Min temperature of CTD (m°C);CONFIG_CtdMinTransmittedTemperature_mdegC;Minimum value of transmitted Ctd temperature measurements (in milli-DegC).
608;251;Max temperature of CTD (m°C);CONFIG_CtdMaxTransmittedTemperature_mdegC;Maximum value of transmitted Ctd temperature measurements (in milli-DegC).
609;251;Min salinity of CTD (mPSU);CONFIG_CtdMinTransmittedSalinity_mpsu;Minimum value of transmitted Ctd salinity measurements (in milli-PSU).
