CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
MC00;Total Number of Cycles;Total Number of cycles This is the total number of cycles of descent, submerged drift, ascent and transmission that ARVOR-I will perform. The mission ends and ARVOR-I enters Life Expiry mode when this number of cycles has been completed. The capacity of ARVOR-I 's batteries is sufficient for at least 300 cycles (depending on Battery type and volume of CTD data to be acquired and transmitted). If you wish to recover ARVOR-I at the end of the mission, you must set the number of cycles at less than 300 to ensure there is sufficient battery capacity remaining to allow ARVOR-I to return to the sea surface and enter Life Expiry. Under favourable conditions, the battery capacity may exceed 300 cycles. If you do not plan to recover the ARVOR-I float, you may choose to set the number of cycles to 300 to ensure that ARVOR-I completes the maximum number of cycles possible.;CONFIG_MaxCycles_NUMBER;Applies to PROVOR and ARVOR floats, profiler configuration - Number of cycles before float turns itself off, goes into end of life mode, or into recovery mode
MC002;Cycle period;Decoder management of MC2/MC3 configuration parameter;CONFIG_CycleTime_hours;For APEX and ARVOR floats this is the total duration of one cycle, usually 240 hours (10 days). For SOLO floats this is the total duration of one cycle, assuming that all float operations reach their full time-out intervals before moving to the next float stage. Typically the actual cycle time will be shorter than this value.
MC011;Drift depth;Decoder management of MC11/MC13 configuration parameter;CONFIG_ParkPressure_dbar;park pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
MC012;Profile depth;Decoder management of MC12/MC14 configuration parameter;CONFIG_ProfilePressure_dbar;profile pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
MC04;Reference Day;Reference day (number of days) The float’s internal clock day number is set to zero when the mission starts. When this float day number equals the reference day “MC4”, the float performs its first profile. Thus, as this parameter defines a particular day on which the first profile is to be made, it allows you to configure a group of floats so that they all conduct their first profile at the same time. When setting the reference day, it is recommended to allow enough time between the deployment and reach of profiling depth. Using a reference day of at least 2 will ensure the first profile to be completed.;CONFIG_FloatReferenceDay_FloatDay;Profiler configuration - Reference day, for PROVOR and ARVOR floats this is: The day number on which the first profile is to be made. The day when the mission starts is zero.
MC05;Estimated time at the surface;Expected time at the surface (hours) Expected time float must reach surface.;CONFIG_SurfaceTime_HH;Hour of the float surfacing
MC06;Delay Before Mission;Delay before mission (minutes) To prevent ARVOR-I from trying to sink while still on deck, the float waits for this time before commanding the buoyancy engine to start the descent. After disconnection of the PC, followed by removal of the magnet, ARVOR-I will wait for this delay before beginning the descent. The delay is measured after the first start of the pump which confirms the removal of the magnet (see section 2.4.1) and before the start of the descent.;CONFIG_DelayBeforeMissionStart_minutes;Float waiting period before the first cycle of its mission (in minutes).
MC07;CTD acquisition mode;CTD sensor acquisition mode 1 = Continuous pump mode (recommended), CTD pump will be active during complete profile 2 = ECO Mode (Measurement is taken in the middle of the theoretical slice). 3 = Mix-mode (ECO mode in Deep zone, Continuous pump mode in intermediate & shallow zone) 4 = Spot-sampling mode (pump is active for 20s approx, then sample is acquired) With mode, 2, 3 and 4, slice thickness must be parametered to stay inferior to 5 dBar. For thin slice thickness (< 5 dBar), continuous mode is needed;CONFIG_CTDPowerAcquisitionMode_NUMBER;Power acquisition mode of the Sensor defined by <short sensor name> Input options for CTD (1 : continuous, 2 : pulsed). Input options for Optode (0: none, 1 : continuous, 2 : pulsed).
MC08;Descent Sampling Period;Descent sampling period (seconds) The time interval between successive CTD measurements during descent. If this parameter is set to 0 seconds, no profile will be carried out during the descent phase. Nevertheless, due to the ARGO requirements, the first descent profile of the mission is automatically done even if the parameter was equal to 0. Minimum value is 8 seconds.;CONFIG_DescentToParkPresSamplingTime_seconds;Sampling period during the descent to parking pressure (in seconds).
MC09;Drift Sampling Period;Drift sampling period (hours) The time interval between successive CTD measurements during ARVOR-I 's stay at the drift depth.;CONFIG_ParkSamplingPeriod_hours;specifies sampling period during the park phase, e.g. for APEX floats could be hourly or for ARVOR floats 12 hourly, for SOLO/SOLOII floats this definition is: P,T,S is sampled during drift (park) every CONFIG_ParkSamplingPeriod_hours, e.g. every 2 hours.
