CONF_PARAM_DEC_ID;CONF_PARAM_TYPE;CONF_PARAM_MSG_LABEL;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
100;CONFIG_AUX;Mission description script;CONFIG_AUX_MissionDescription_STRING;The CTS5 float mission is defined by a concatenation of elementary steps (see float manual for details).
101;CONFIG_AUX;Event log level of detail;CONFIG_AUX_EventLoggerDescriptionLevel_NUMBER;Level of events stored in the associated log file ([0-3]).
102;CONFIG_AUX;Decimal and column separators for data files (*.csv);CONFIG_AUX_OutputCsvConfiguration_STRING;The CTD can be transmitted in a CSV file. The first character of this parameter defines the decimal character to use, the second character defines the column separator to use.
300;META_AUX;IP address of the float on a local connection via Bluetooth;META_AUX_FLOAT_IP_ADDRESS;IP address of the float for a bluetooth connection.
103;CONFIG_AUX;System task list: 0 – Float Integrity Test 1 – SBE41 navigation sensor 2 – Float safety mechanisms 3 – Standard navigation control 4 – Payload interaction 5 – GPS positioning 6 – Sensor acquisition 7 – NOSS navigation sensor 8 – SDA14 acoustic noise sensor 9 – Special mechanisms 10 – PUCK sensor 11 – EMAP sensor 12 – USEA interaction 13 – Under-ice capabilities;CONFIG_AUX_SystemTaskList_STRING;List of tasks considered by the float (see float manual for details).
104;CONFIG_AUX;"Enable/disable ""user"" trace files";CONFIG_AUX_EnableUserLog_LOGICAL;Enable/disable user log file generation and transmission.
105;CONFIG_AUX;"Enable/disable ""system"" trace files";CONFIG_AUX_EnableSystemLog_LOGICAL;Enable/disable system log file generation and transmission.
106;CONFIG;Enable/disable complete self-test;CONFIG_TelemetryAutoTestAtDeployment_LOGICAL;Perform a full auto-test (RUDICS server connection test) at float deployment (Yes=1/No=0).A full auto-test includes a connection test on the RUDICS server and a GPS fix acquisition.
107;CONFIG_AUX;Feedback-related risk criterion;CONFIG_AUX_FeedbackRiskLevel_NUMBER;Set the feedback risk level used to decide if a feedback, raised by the sensor board, should be accepted by the vector board (number between 0: lowest risk and 4:highest risk) (see float manual for details).
108;CONFIG_AUX;Maximum buoyancy recovery;CONFIG_AUX_EnableHeavyFloatAlarm_LOGICAL;Enable/disable heavy float alarm. Heavy float alarm should be disabled if a 'heavy float deployment' is wanted.
109;CONFIG;External pressure offset after effective surface only;CONFIG_PressureOffsetSampledAfterTransmission_LOGICAL;The surface pressure offset is sampled only if an Iridium transmission or a GPS session occured (to be sure that the pressure offset is sampled at the surface). Original proposed names was: CONFIG_SecuredPressureOffsetSampledAtSurface_LOGICAL
110;CONFIG_AUX;Time stamping format for data files (*.csv);CONFIG_AUX_OutputCsvDatetimeFormat_NUMBER;The CTD can be transmitted in a CSV file. This parameter is used to set the format of the measurement times (0: seconds elapsed since 01/01/1900, 1: Excel format, 2: Unix format, 3: Mac format).
111;CONFIG_AUX;Mandatory additional memory card for the mission;CONFIG_AUX_RequestedMemoryCard_LOGICAL;An additional memory card is requested for some missions (ex: under-ice mission). This parameter is designed to fail the autotest if the requested additional memory card is not present.
112;CONFIG;Rate of descent threshold for SV action (cm/s);CONFIG_DescentSpeedMin_cm/s;Float minimum descent speed before activating the valve.
113;CONFIG;Rate of ascent threshold for pump action (cm/s);CONFIG_AscentSpeedMin_cm/s;Float minimum ascent speed before activating the pump.
114;CONFIG;Typical rate of descent (cm/s);CONFIG_DescentSpeed_cm/s;Descent speed during downcast (can be used to estimate the time to descent from parking pressure to profile pressure)
115;CONFIG;Typical rate of ascent (cm/s);CONFIG_AscentSpeed_cm/s;ascent speed during upcast (can be used to estimate the profile duration). 
116;CONFIG;Pressure tolerance for positioning in descent (dbar);CONFIG_PressureTargetToleranceForStabilisation_dbar;Defines the target pressure interval for float stabilisation at parking or profile depth (in dbars).
117;CONFIG;Pressure tolerance for positioning in ascent (dbar);CONFIG_PressureTargetToleranceForStabilisationDuringAscent_dbar;Defines the target pressure interval for float stabilisation during ascent at a prescribed depth. The prescibed depth could be the PRES threshold to start low ascent (but I think this should not be in the definition which should stay more generic).
118;CONFIG;Pressure tolerance before repositioning in park (dbar);CONFIG_PressureTargetToleranceDuringDrift_dbar;Defines the target pressure interval for float drift at parking or profile depth (in dbars).
119;CONFIG;Pressure tolerance for positioning in park (dbar);CONFIG_PressureTargetToleranceBeforeReposition_dbar;Defines the target pressure interval before performing a buoyancy readjustment to reposition during the drift at parking depth. When a PRES measurement (sampled to monitor the float drift at parking depth) is outside the [parking_pressure +- CONFIG_PressureTargetToleranceBeforeReposition_dbar] interval, the float adjust its buoyancy.
120;CONFIG;Pressure monitoring period during descent (s);CONFIG_PressureCheckTimeDescent_seconds;Period of the pressure checks during the float descent (after CONFIG_BuoyancyReductionSecondThreshold_dbar).
121;CONFIG;Pressure monitoring period during ascent (s);CONFIG_PressureCheckTimeAscent_seconds;Period of the pressure checks during the float ascent to surface.
122;CONFIG;Pressure monitoring period during drift (s);CONFIG_PressureCheckTimeParking_seconds;Period of the pressure checks during the float drift at park or profile depth.
123;CONFIG;Maximum volume of an SV action during descent/repositioning (cm3);CONFIG_OilVolumeMaxPerValveAction_cm^3;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMaxPerValveAction_cm^3 is converted to a maxDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a huge valve action duration and the result must be thresholded by maxDurationOfValveAction.
124;CONFIG;Maximum volume of a pump action during repositioning (cm3);CONFIG_OilVolumeMaxPerPumpActionReposition_cm^3;This information is used as a threshold for the pump action duration for reposition in the parking drift interval. The pump flow is known for each float and CONFIG_OilVolumeMaxPerPumpActionReposition_cm^3 is converted to a maxDurationOfPumpActionReposition.  When a reposition should be performed, the float computes the needed pump action duration. In some specific cases the result can be a huge pump action duration and the result must be thresholded by maxDurationOfPumpActionReposition.
125;CONFIG;Emergence reduction threshold 1 (dbar);CONFIG_BuoyancyReductionFirstThreshold_dbar;First threshold of the buoyancy reduction phase (see float manual for explanations).
